year,quarter,ev_share,ev_share_threshold,below_ev_share_threshold,YearQuarterLabel,ev_share_ok,ev_share_below
2018,Q1,0.013878968955076358,0.07,True,2018 Q1,,0.013878968955076358
2018,Q2,0.018135129867030756,0.07,True,2018 Q2,,0.018135129867030756
2018,Q3,0.020962509607932393,0.07,True,2018 Q3,,0.020962509607932393
2018,Q4,0.020099674596139202,0.07,True,2018 Q4,,0.020099674596139202
2019,Q1,0.015301685023216736,0.07,True,2019 Q1,,0.015301685023216736
2019,Q2,0.021525168533192623,0.07,True,2019 Q2,,0.021525168533192623
2019,Q3,0.024062660742268753,0.07,True,2019 Q3,,0.024062660742268753
2019,Q4,0.023369133388250647,0.07,True,2019 Q4,,0.023369133388250647
2020,Q1,0.02524485507671986,0.07,True,2020 Q1,,0.02524485507671986
2020,Q2,0.026642182418027047,0.07,True,2020 Q2,,0.026642182418027047
2020,Q3,0.0272295785128804,0.07,True,2020 Q3,,0.0272295785128804
2020,Q4,0.027735426380750005,0.07,True,2020 Q4,,0.027735426380750005
2021,Q1,0.03290379530481187,0.07,True,2021 Q1,,0.03290379530481187
2021,Q2,0.037895281943897886,0.07,True,2021 Q2,,0.037895281943897886
2021,Q3,0.03695130285714853,0.07,True,2021 Q3,,0.03695130285714853
2021,Q4,0.037987374767237264,0.07,True,2021 Q4,,0.037987374767237264
2022,Q1,0.04734776452068854,0.07,True,2022 Q1,,0.04734776452068854
2022,Q2,0.049785885547958555,0.07,True,2022 Q2,,0.049785885547958555
2022,Q3,0.051565570743740075,0.07,True,2022 Q3,,0.051565570743740075
2022,Q4,0.0524798271464094,0.07,True,2022 Q4,,0.0524798271464094
2023,Q1,0.06341365161693197,0.07,True,2023 Q1,,0.06341365161693197
2023,Q2,0.06799988200733996,0.07,True,2023 Q2,,0.06799988200733996
2023,Q3,0.06654546881335095,0.07,True,2023 Q3,,0.06654546881335095
2023,Q4,0.06562440344788766,0.07,True,2023 Q4,,0.06562440344788766
2024,Q1,0.07754097058443368,0.07,False,2024 Q1,0.07754097058443368,
2024,Q2,0.07891206002704532,0.07,False,2024 Q2,0.07891206002704532,
2024,Q3,0.08005086868109719,0.07,False,2024 Q3,0.08005086868109719,
2024,Q4,0.0823904985907196,0.07,False,2024 Q4,0.0823904985907196,
2025,Q1,0.08921953440417144,0.07,False,2025 Q1,0.08921953440417144,
2025,Q2,0.09583948239552746,0.07,False,2025 Q2,0.09583948239552746,
2025,Q3,0.0959494348034666,0.07,False,2025 Q3,0.0959494348034666,
2025,Q4,0.09778829074604503,0.07,False,2025 Q4,0.09778829074604503,
